σY,exp_action,expected_cost
"[369.24320233898635, 369.24320233898635, 369.24320233898635, 369.24320233898635, 369.24320233898635, 369.24320233898635, 370.7114082707343]",no_action,0.0
"[370.7114082707343, 409.6257055408918, 413.9339249810499, 378.3067782816097, 376.4160552623878, 384.47635831501015, 387.6906507222206]",no_action,0.0
"[387.6906507222206, 394.22457164480244, 434.78678720772876, 453.67237830978195, 433.49126786355606, 405.1564078999554, 411.30046930219606]",no_action,0.0
"[411.30046930219606, 415.36611523253697, 412.71635662657735, 412.71635662657735, 391.91898448952054, 387.27170200198304, 403.3592460463125]",no_action,0.0
"[403.3592460463125, 412.39379367752105, 431.0384092088841, 415.5180531947028, 415.5180531947028, 426.7937254889572, 431.4962537770811]",no_action,0.0
"[431.4962537770811, 427.4600716614512, 447.24274448794984, 439.04307381051547, 449.01186322657827, 439.60309682660994, 399.7525883151067]",no_action,100.0
"[399.7525883151067, 400.5375666451821, 408.43898412837694, 394.40561142438963, 359.87283707639585, 382.9792186275268, 412.7369829879721]",no_action,0.0
"[412.7369829879721, 417.9190234451033, 401.2024800559239, 346.4941911730471, 346.68356986431263, 331.4383742914286, 343.1432743950868]",no_action,0.0
"[343.1432743950868, 349.7641178402917, 352.3443642041262, 348.5371382748767, 349.2079559085886, 384.65978064563745, 369.78614211161283]",no_action,0.0
"[369.78614211161283, 379.62992365337095, 361.3963658353602, 337.5940424907522, 349.77471002054756, 373.16529759600854, 406.3887660626308]",no_action,0.0
"[406.3887660626308, 320.41743179282986, 325.044195787941, 329.0890673568756, 308.4252052297502, 350.91262718520454, 308.73923443699886]",increase_resistance,3100.0
"[308.73923443699886, 287.272271867327, 287.06846697913033, 350.58759675827724, 377.2625641992712, 356.59475494813415, 328.46163803746146]",increase_resistance,3100.0
"[328.46163803746146, 366.8222363909505, 306.1753579426584, 368.82689609101965, 362.6417626155355, 387.04071828628423, 406.9555030280011]",no_action,0.0
"[406.9555030280011, 406.9555030280011, 409.866444757354, 404.2147494185776, 400.58978635649504, 401.6620553086614, 395.0739468164638]",no_action,0.0
"[395.0739468164638, 392.03914738578493, 309.6381347465021, 319.904403048766, 318.95328474442726, 335.194558105928, 322.71777388447794]",no_action,1000.0
"[322.71777388447794, 316.9144865897273, 298.50591189929986, 324.12099299611646, 353.30285518139976, 365.92497931624297, 366.81534138088495]",no_action,1600.0
"[366.81534138088495, 374.77627469178367, 354.0767848124, 385.01239981301626, 368.6123326051426, 351.473117118932, 368.2630013402802]",no_action,0.0
"[368.2630013402802, 372.58338217001835, 388.01924245490335, 305.52393874224504, 326.75800371378347, 312.7745810358758, 382.4142315259472]",no_action,100.0
"[382.4142315259472, 382.4142315259472, 382.4142315259472, 359.15575889564445, 349.2562115322569, 385.569623642682, 363.1340090035283]",no_action,0.0
"[363.1340090035283, 394.5399889914567, 413.044836854677, 395.7019852574435, 406.0752627415775, 382.8063011709568, 413.1800081647039]",no_action,0.0
"[413.1800081647039, 440.04263538496605, 412.51654882340586, 405.53943608815985, 424.16610437975663, 424.16610437975663, 416.38462454603206]",no_action,0.0
"[416.38462454603206, 303.8214698779301, 309.08684304201904, 421.1997118579689, 421.1997118579689, 347.96137616124383, 357.301069927158]",no_action,900.0
"[357.301069927158, 353.41195179304606, 350.9339637697405, 284.214402115151, 330.30366215377245, 277.5199818400251, 325.38190199452913]",increase_resistance,3300.0
"[325.38190199452913, 301.9486949644004, 324.90263362997666, 363.86188724474897, 333.1294548453627, 319.95717816973223, 325.9204659259442]",no_action,1400.0
"[325.9204659259442, 300.32246949209383, 341.69833229600476, 333.944916351941, 334.63388677391896, 353.8951352397649, 351.7096802450797]",no_action,700.0
"[351.7096802450797, 373.4804822008546, 427.84468476842113, 380.9518717777278, 321.53136703789556, 337.59795396867503, 305.59498386679013]",no_action,400.0
"[305.59498386679013, 339.95230286520695, 315.7226619086894, 341.0314317097861, 338.72992584745776, 364.46121500255197, 357.5620682548415]",no_action,200.0
