σY,exp_action,expected_cost
"[371.92717437963296, 334.59910457091064, 357.3186771760573, 359.2183033522836, 358.582804995897, 348.7406543959816, 346.07243159832296]",no_action,0.0
"[346.07243159832296, 371.3887459112754, 371.3887459112754, 360.152474593099, 360.5976105442533, 366.80671264511585, 348.64476611875426]",no_action,0.0
"[348.64476611875426, 360.82050891688687, 348.84272864191126, 348.84272864191126, 342.33029753388126, 364.1230734481193, 347.693798118481]",no_action,0.0
"[347.693798118481, 345.5219017233219, 345.5219017233219, 370.30770476031836, 365.2274135671857, 345.5251726871817, 330.69928251042194]",no_action,100.0
"[330.69928251042194, 364.7807691098141, 354.580720510636, 375.6259288923649, 375.6259288923649, 373.71103338971454, 360.92987828582653]",no_action,0.0
"[360.92987828582653, 362.6976877690933, 361.7715565741786, 364.4458888318867, 394.15799087004314, 389.0126883900472, 387.9348880814026]",no_action,0.0
"[387.9348880814026, 323.31064770233814, 317.7069661666702, 344.1722592745072, 356.3589424657056, 355.46685091023505, 381.07181384601205]",no_action,0.0
"[381.07181384601205, 358.79864351383964, 362.0647286592698, 365.55430543804147, 353.95779981415524, 363.69823038272426, 343.95535048485056]",no_action,0.0
"[343.95535048485056, 343.7044770526001, 343.7044770526001, 360.6895610851022, 360.6895610851022, 369.7902167435522, 372.78799577897837]",no_action,0.0
"[372.78799577897837, 350.3264448673449, 336.6585037962977, 376.30506870331186, 332.7124637295759, 327.14714784189675, 344.9523758108329]",no_action,300.0
"[344.9523758108329, 340.35804407224316, 376.8395596240623, 346.2150389950573, 360.8578256497662, 360.8578256497662, 354.2794224387302]",no_action,0.0
"[354.2794224387302, 365.2885917655089, 378.0347745493022, 348.40553980735433, 351.82646704118827, 350.3818468297786, 368.5141639140968]",no_action,0.0
"[368.5141639140968, 352.94116710669493, 322.8828720017869, 342.340311363983, 374.9516714250654, 340.9455175765639, 346.1438743231728]",no_action,200.0
"[346.1438743231728, 366.5258181343056, 362.87043791638433, 337.65760005706096, 347.28743579515225, 332.9074356502339, 363.8992633460702]",no_action,200.0
"[363.8992633460702, 337.4848968785393, 364.1094688179037, 340.78806414223595, 340.78806414223595, 356.15230951167155, 359.07263111008393]",no_action,100.0
"[359.07263111008393, 348.6587343799827, 356.07905755944756, 365.45567942413004, 365.45567942413004, 365.8785901539889, 366.1179451814209]",no_action,0.0
"[366.1179451814209, 359.73692133151144, 358.8307354336224, 353.6934613247614, 357.2622042638516, 353.00081045509893, 341.67009174364983]",no_action,0.0
"[341.67009174364983, 369.1935427895247, 349.90655986008045, 348.69643933825193, 363.3663427594489, 371.4653188381974, 347.6292568993824]",no_action,100.0
"[347.6292568993824, 368.1167632813029, 370.2723522667306, 370.3298845953259, 349.4730859613541, 367.3259534092244, 345.54942153136824]",no_action,0.0
"[345.54942153136824, 373.73735785355103, 352.40916330383004, 348.59001954346195, 342.1579321258003, 336.63979417847173, 377.3367353880424]",no_action,0.0
